analysis_jsonl,arm_crossed_ratio,arm_occlusion_ratio,body_confidence_mean,body_confidence_p10,capture_to_udp_p95_ms,confident_keypoints_mean,delivery_ratio,duration_s,effective_hz,eligible,frames,id,raw_filter_rms_p95_cm,role,score,speed_spike_ratio,status,summary_csv,timestamp_gaps_over_200ms
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_144046.jsonl,0.01187,0.10312,95.642,93.382,20.925,32.687,0.6367,141.137,9.551,True,1348,body38_analysis_20260730_144046,2.3148,baseline,78.828,0.00074,analyzed,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_144046_summary.csv,0
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_153334.jsonl,0.01112,0.19368,95.56,94.18,30.88,30.627,0.5772,394.81,8.657,True,3418,body38_analysis_20260730_153334,1.6956,occlusion_challenge,77.261,0.00088,analyzed,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_153334_summary.csv,2
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_151016.jsonl,0.0,0.11765,94.553,93.719,22.117,28.529,0.68,1.667,10.199,False,17,body38_analysis_20260730_151016,4.3782,reject,70.142,0.0,analyzed,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_151016_summary.csv,0
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_135008.jsonl,0.0,0.2,81.495,78.441,24.778,14.2,0.8333,0.4,12.5,False,5,body38_analysis_20260730_135008,2.9743,reject,64.08,0.0,analyzed,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_135008_summary.csv,0
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_150638.jsonl,0.0,0.0,89.549,88.169,33.589,13.867,0.6818,1.467,10.227,False,15,body38_analysis_20260730_150638,3.9088,reject,57.872,0.0,analyzed,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_150638_summary.csv,0
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_153157.jsonl,0.0,0.0,52.948,48.439,98.545,10.333,0.1463,5.467,2.195,False,12,body38_analysis_20260730_153157,6.3836,reject,31.02,0.0,analyzed,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_153157_summary.csv,2
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_135528.jsonl,,,,,,,,,,False,0,body38_analysis_20260730_135528,,reject,0.0,,metadata_only,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_135528_summary.csv,
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_135618.jsonl,,,,,,,,,,False,0,body38_analysis_20260730_135618,,reject,0.0,,metadata_only,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_135618_summary.csv,
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_142518.jsonl,,,,,,,,,,False,0,body38_analysis_20260730_142518,,reject,0.0,,metadata_only,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_142518_summary.csv,
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_142904.jsonl,,,,,,,,,,False,0,body38_analysis_20260730_142904,,reject,0.0,,metadata_only,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_142904_summary.csv,
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_143015.jsonl,,,,,,,,,,False,0,body38_analysis_20260730_143015,,reject,0.0,,metadata_only,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_143015_summary.csv,
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_143741.jsonl,,,,,,,,,,False,0,body38_analysis_20260730_143741,,reject,0.0,,metadata_only,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_143741_summary.csv,
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_143748.jsonl,,,,,,,,,,False,0,body38_analysis_20260730_143748,,reject,0.0,,metadata_only,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_143748_summary.csv,
C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_150721.jsonl,,,,,,,,,,False,0,body38_analysis_20260730_150721,,reject,0.0,,metadata_only,C:\Users\Misafir\Desktop\ZED_G1_Projesi\analysis_recordings\body38_analysis_20260730_150721_summary.csv,
